year,nitrogen_used,fertilized_applied_in_lb_per_acre_year,corn_produced_in_bu,percent_of_crop_treated,harvest_volume,planted_volume,harvest_ratio,harvest_delta,plant_delta
2003,136.0,136.0,10087292000,96.0,70944000,78603000,0.9025609709553071,1614000.0,-291000.0
2002,137.0,137.0,8966787000,96.0,69330000,78894000,0.8787740512586508,562000.0,3192000.0
2001,133.0,133.0,9502580000,96.0,68768000,75702000,0.9084040051781987,-3672000.0,-3849000.0
2000,136.0,136.0,9915051000,98.0,72440000,79551000,0.9106108031325816,1953000.0,2165000.0
1999,133.0,133.0,9430612000,98.0,70487000,77386000,0.9108495076628847,-2102000.0,-2779000.0
1998,133.0,133.0,9758685000,98.0,72589000,80165000,0.9054949167342357,-82000.0,628000.0
1997,130.0,130.0,9206832000,99.0,72671000,79537000,0.9136753963564127,27000.0,308000.0
1996,133.0,133.0,9232557000,98.0,72644000,79229000,0.9168864935818956,7434000.0,7750000.0
1995,130.0,130.0,7400051000,97.0,65210000,71479000,0.9122959190811287,-7304000.0,-7442000.0
1994,129.0,129.0,10050520000,97.0,72514000,78921000,0.9188175517289441,9581000.0,5682000.0
1993,125.0,125.0,6337730000,97.0,62933000,73239000,0.8592826226464042,-9144000.0,-6072000.0
1992,129.0,129.0,9476698000,97.0,72077000,79311000,0.9087894491306376,3255000.0,3354000.0
1991,128.0,128.0,7474765000,96.0,68822000,75957000,0.9060652737733191,1870000.0,1791000.0
1990,129.6,129.6,7934028000,96.1,66952000,74166000,0.9027317099479546,2169000.0,1844000.0
